Key,german,latam,italian,japanese,polish,brazilian,russian,turkish,schinese
MechFactionSchematic,Master of Disguse,Maestro del asco,Maestro del disgusto,"ディスガイアの達人",Master of disguse,Mestre do desgosto,"Мастер отвращения","Disguse Ustası","失败大师"
VaultDwellersFactionSchematic,Master of Disguse,Maestro del asco,Maestro del disgusto,"ディスガイアの達人",Master of disguse,Mestre do desgosto,"Мастер отвращения","Disguse Ustası","失败大师"
RedteamFactionSchematic,Master of Disguse,Maestro del asco,Maestro del disgusto,"ディスガイアの達人",Master of disguse,Mestre do desgosto,"Мастер отвращения","Disguse Ustası","大师级人物"
BlueteamFactionSchematic,Master of Disguse,Maestro del asco,Maestro del disgusto,"ディスガイアの達人",Master of disguse,Mestre do desgosto,"Мастер отвращения","Disguse Ustası","大师级人物"
GreenteamFactionSchematic,Master of Disguse,Maestro del asco,Maestro del disgusto,"ディスガイアの達人",Master of disguse,Mestre do desgosto,"Мастер отвращения","Disguse Ustası","大师级人物"
MechFactionSchematicDesc,"Lies dies, um zur Banditenfraktion zu wechseln!","Lee esto para pasarte a la facción de los bandidos.",Leggi questo per passare alla fazione dei banditi!,"これを読めば、盗賊派に乗り換えられる!","Przeczytaj to, aby przejść na frakcję bandytów!","Leia isto para mudar para a facção do bandido!","Прочитайте это, чтобы перейти во фракцию бандитов!","Haydut fraksiyonuna geçmek için bunu okuyun!","读了这个就可以转到强盗派系了!"
VaultDwellersFactionSchematicDesc,"Lies dies, um zur Fraktion der Untoten zu wechseln!","Lee esto para cambiarte a la facción de los muertos vivientes.",Leggi questo per passare alla fazione dei non morti!,"これを読めばアンデッド派閥に切り替わる!","Przeczytaj to, aby przejść na frakcję nieumarłych!","Leia isto para mudar para a facção dos mortos-vivos!","Прочитайте это, чтобы перейти во фракцию нежити!","Ölümsüzler grubuna geçmek için bunu okuyun!","读了这个就可以转到亡灵派了!"
RedteamFactionSchematicDesc,"Lesen Sie dies, um zum roten Team zu wechseln!",Lee esto para cambiarte al equipo rojo.,Leggete questo per passare alla squadra rossa!,"これを読んで赤組に乗り換えよう!","Przeczytaj to, aby przejść do drużyny Czerwonych!",Leia isto para passar para a equipe vermelha!,"Прочитайте это, чтобы перейти в команду ""Красных""!","Kırmızı takıma geçmek için bunu okuyun!","读了这个就可以转到红队了!"
BlueteamFactionSchematicDesc,"Lesen Sie dies, um zum blauen Team zu wechseln!",Lee esto para cambiarte al equipo azul.,Leggete questo per passare alla squadra blu!,"これを読んでブルーチームに乗り換えよう!","Przeczytaj to, aby przejść do drużyny Niebieskich!",Leia isto para passar para a equipe Blue!,"Прочитайте это, чтобы перейти в команду ""синих""!","Mavi takıma geçmek için bunu okuyun!","读了这个就可以转到蓝队去了!"
GreenteamFactionSchematicDesc,"Lesen Sie dies, um zum Green Team zu wechseln!","¡Lee esto para pasarte al Equipo Verde!",Leggete questo articolo per passare al Green Team!,"これを読んで、グリーンチームに乗り換えましょう","Przeczytaj to, aby przejść do Green Team!",Leia isto para passar para a Equipe Verde!,"Прочитайте это, чтобы перейти в ""Зеленую команду""!","Yeşil Ekibe geçmek için bunu okuyun!","读了这个就可以转到绿色团队了!"
MechPositiveFactionSchematic,"Frieden und Liebe für die Mechs",Paz y amor a los Mechs,Pace e amore per i Mech,"メックに平和と愛を",Peace and Love to the Mechs,Paz e amor aos Mechs,"Мир и любовь мехам","Mech'lere Barış ve Sevgi","给机甲部队的和平和爱"
MechPositiveFactionSchematicDesc,"Lies dies, um die Botschaft der Mechs zu verbreiten! Steigern Sie Ihren Stand bei den Mechs!","¡Lee esto para difundir el mensaje de los mechs! ¡Aumenta tu posición con los mechs!",Leggete questo per diffondere il messaggio dei mech! Aumenta la tua posizione con i mech!,"これを読んで、メカのメッセージを広めよう!メックと一緒にあなたのステイタスを上げよう!","Przeczytaj to, aby rozpowszechnić wiadomość o mechach! Zwiększ swoje stanowisko w sprawie mechów!","Leia isto para difundir a mensagem dos mechs! Aumente a sua posição com os mechs!","Прочитайте это, чтобы распространить послание мехов! Повысьте свои позиции среди мехов!","Mekaniğin mesajını yaymak için bunu okuyun! Mekanikler ile konumunuzu yükseltin!","阅读此文以传播机械人的信息!提高你在机械族中的地位!"
MechNegativeFactionSchematic,"Mechs: Unzuverlässig! Nicht vertrauenswürdig!","Mechs: ¡No son fiables! No se puede confiar en ellos.",Mech: inaffidabili! Inaffidabili!,"メック：Unreliable!信用できない",Mechy: Niepewne! Niegodny zaufania!,"Mechs: Não confiável! Não confiável!","Мехи: Ненадежные! Не заслуживающие доверия!","Mekanikler: Güvenilmez! Güvenilmez!","Mechs: 不可靠!不值得信任!"
MechNegativeFactionSchematicDesc,"Lies dies, um Lügen und Fake News über die Mechs zu verbreiten! Verringern Sie Ihr Ansehen bei den Mechs!","¡Lee esto para difundir mentiras y noticias falsas sobre los mechs! ¡Disminuye tu posición con los mechs!",Leggete questo per diffondere bugie e notizie false sui mech! Diminuisci la tua posizione con i mech!,"これを読めば、メックに関する嘘やフェイクニュースが広まる!メカとの関係を悪化させる!","Przeczytaj to, aby rozpowszechnić kłamstwa i fałszywe wiadomości o mechach! Zmniejsz swoją pozycję wśród mechów!","Leia isto para espalhar mentiras e falsas notícias sobre os mechs! Diminua sua posição com os mechs!","Прочитайте это, чтобы распространить ложь и фальшивые новости о мечах! Понижайте свое положение среди мехов!","Mekanikler hakkında yalan ve sahte haberler yaymak için bunu okuyun! Mekanikler nezdindeki itibarınızı düşürün!","阅读此文以传播关于机械人的谎言和假消息!降低你在机械族中的地位!"
VaultPositiveFactionSchematic,"Frieden und Liebe zum Gewölbe","Paz y amor a la bóveda",Pace e amore al Vault,"ピース＆ラブ・トゥ・ザ・ボールト",Peace and Love to the Vault,"Paz e Amor à Caixa-forte","Мир и любовь в хранилище","Kasaya Barış ve Sevgi","给金库的和平和爱"
